base_col,margin,cap_slack,sample_count,coverage,mean_gap,median_gap,gap_p05,gap_p95,gap_p95_p05_range,p95_violation,p99_violation,max_violation
pred_q70,0.02,0.0,5184.0,0.591820987654321,0.07237075234763012,0.048585705727887896,-0.1812834941717162,0.37747983780423533,0.5587633319759515,0.19128349417171614,0.2697236005346354,0.4488048291811446
pred_q70,0.01,0.03,5184.0,0.5848765432098766,0.0740820083766103,0.04614256898405977,-0.15992614441324396,0.37225751259920303,0.532183657012447,0.16992614441324394,0.24896168017057207,0.4188048291811446
pred_q80,-0.02,0.03,5184.0,0.5839120370370371,0.07410629890434839,0.04493126003180639,-0.15922872978718913,0.374287577023213,0.5335163068104022,0.16922872978718892,0.24896168017057207,0.4188048291811446
pred_q90,-0.06,0.02,5184.0,0.5856481481481481,0.07501742378561568,0.048130464566437714,-0.1644844543458865,0.3801395377030274,0.5446239920489139,0.17448445434588614,0.25325948149683697,0.4288048291811446
pred_q70,0.02,0.01,5184.0,0.5981867283950617,0.07550112589804975,0.05011414211924714,-0.1721445500239492,0.3782488585058373,0.5503934085297865,0.18214455002394905,0.263259481496837,0.4388048291811446
pred_q80,-0.04,0.1,5184.0,0.5817901234567902,0.07557112687074724,0.043157592525787755,-0.13708947476553465,0.3782978922995743,0.5153873670651089,0.14708947476553455,0.22454957125082786,0.3940291412105039
pred_q90,-0.08,0.08,5184.0,0.5823688271604939,0.07569324398381769,0.048492884682743626,-0.1447911265548295,0.3764873373152337,0.5212784638700632,0.15479112655482946,0.22043579743063288,0.37774273602854286
pred_q90,-0.06,0.03,5184.0,0.5912422839506173,0.07790735855041517,0.05248353544339218,-0.15787557971276342,0.38221137430979607,0.5400869540225595,0.1678755797127634,0.24417166851557168,0.4188048291811446
pred_q70,0.02,0.02,5184.0,0.6039737654320988,0.07850646781039959,0.05117947984892976,-0.16589925494841026,0.3788803633429502,0.5447796182913605,0.17589925494841024,0.25353908443935397,0.4288048291811446
pred_q80,0.0,0.0,5184.0,0.6126543209876543,0.07904564924536452,0.05478579057507722,-0.17994851352286606,0.3899139876393125,0.5698625011621785,0.1899485135228659,0.27244377632439887,0.4488048291811446
