feature,importance_q50,importance_q60,importance_q70,importance_q80,importance_q90,importance_mean
clv_1_mean_gap_24,0.07434331351237478,0.01984510672266312,0.03362157496043658,0.06570141468175641,0.051318560273763976,0.048965994030198974
low_volume_flag_share_20_rolling_z_24,0.1191455515305774,0.04375871948068839,0.013454857670252238,0.054973503074937216,0.012879981725678533,0.048842522696426756
compression_score_delta_1,0.05581953319873884,0.09619684099660779,0.07159681920341432,0.020066936398783475,0.0,0.04873602595950889
compression_score_lag1,0.10618994414396025,0.031216179368180393,0.03225900647604376,0.03471414394387393,0.03809899713718053,0.04849565421384778
relative_volume_5_lag6,0.026767437892042997,0.0,0.04962853818088709,0.008732495134476657,0.15704448617043543,0.04843459147556843
vwap_dist_10,0.03984977627359853,0.04389531263908376,0.038317072808257774,0.03170836632441314,0.08817332452327394,0.04838877051372542
rv_3_rolling_z_12,0.022488216608859163,0.10409176955169322,0.07147847420797565,0.014790217459203498,0.029000210051733328,0.048369777575892975
rv_5_mean_gap_12,0.06622661439230182,0.08340476378879164,0.03983347839135381,0.014465400019523875,0.03760879573441099,0.04830781046527642
prev_bar_log_trade_count,0.0799758392844689,0.046740200518961134,0.048863031349608385,0.01374808282055744,0.052035443619386265,0.048272519518596436
rv_30_mean_gap_24,0.16312514070561226,0.06060718872941513,0.017129849450163343,0.0,0.0,0.048172435777038156
clv_1_lag12,0.0837725801779127,0.03065863264482172,0.06089226061025179,0.012688419404090658,0.05265130462620528,0.04813263949265643
close_z_10_delta_1,0.06660713648255337,0.0,0.13669788719167375,0.011038492775932083,0.026302791650836814,0.048129261620199204
range_pos_3_rolling_z_6,0.0,0.03204022067157742,0.0216469724739608,0.021679778270153965,0.16482405345810847,0.04803820497476013
volume_z_term_ratio__volume_z_3__volume_z_10,0.06985150303607338,0.05481393015055416,0.04152486209582299,0.03868117183649806,0.034129970756258406,0.04780028757504139
rv_3,0.015668996645343287,0.059199099468398374,0.09218125781827714,0.056842835652277615,0.014936126523123473,0.04776566322148398
vwap_dist_term_ratio__vwap_dist_3__vwap_dist_5,0.08661734185808916,0.03912100226106937,0.058675139400635214,0.042019696485539534,0.009819166029914752,0.0472504692070496
compression_score_mean_gap_24,0.06162640189136572,0.06978487556123196,0.0,0.03595636264993719,0.0688035761027708,0.04723424324106113
ret_efficiency_product__ret_5__efficiency_10,0.054101768894796946,0.020454370470648194,0.07666087225066845,0.025564176405362703,0.05929139959940657,0.047214517524176575
wick_pressure_1_rolling_z_6,0.0858459151054172,0.03290294985736388,0.0,0.02201746263709803,0.09524165087407428,0.047201595694790675
rv_10_lag1,0.014572194113116377,0.07617986774926673,0.06095737405110551,0.03030765900164532,0.053917541902797045,0.04718692736358619
ret_5_mean_gap_12,0.04955958906577813,0.06918880037489403,0.02315456498601849,0.07469019969456965,0.01643000330392629,0.046604631485037316
rv_5_rolling_z_12,0.015772538169980966,0.05409206400986004,0.14668446042419744,0.0066808012846304,0.009488009270280439,0.046543574631789854
ret_efficiency_product__ret_1__efficiency_3,0.09183672954688807,0.00885468802405158,0.013896693314750963,0.09729200046960194,0.01951925085932203,0.04627987244292291
volume_z_5_delta_6,0.0,0.05414956546486998,0.06590430748393503,0.037832035804382394,0.07249838317260185,0.046076858385157855
ret_range_pos_product__ret_3__range_pos_3,0.12556500663638287,0.0,0.013621421814975745,0.011829093427213697,0.07853684296239942,0.04591047296819435
ret_1_lag12,0.03382232984483895,0.059426382315118535,0.021346789784962312,0.01465533410720466,0.1001477024354766,0.045879707697520214
prev_bar_taker_buy_ratio,0.07095674839508256,0.06596134777755423,0.007053481049581042,0.03811868202199555,0.04587059431968978,0.045592170712780634
htf_close_z_15m_lag1,0.14630718596284117,0.04006755509168283,0.01564337373416597,0.0,0.025675527391774474,0.04553872843609289
signed_dollar_volume_1,0.10084298172739813,0.05108969962914871,0.060529035202927316,0.0,0.015177850726379904,0.04552791345717081
ret_1_rolling_z_6,0.0,0.08201633561124114,0.0781112989711331,0.04707931787187305,0.02037470918254557,0.04551633232735857
rv_30_rolling_z_24,0.08543063685128002,0.0405993001929399,0.04318840495633609,0.022753159377293723,0.03559364619132521,0.04551302951383499
range_pos_10_delta_3,0.07706148811187784,0.05814977183535281,0.04553886786039223,0.032261986781533934,0.013859407074741028,0.04537430433277957
taker_imbalance,0.0,0.0,0.16620129457610752,0.06027004880108996,0.0,0.045294268675439495
volume_below_rolling_p20_share_20_rolling_z_24,0.1018461353487697,0.007521381625418347,0.07050429573847779,0.021702263253060062,0.024576438685167633,0.045230102930178706
volume_z_3_delta_6,0.018962540436908412,0.02741458561283467,0.013904228259666689,0.06155853770397565,0.10272521527577108,0.044913021457831305
ret_vol_product__ret_10__rv_30,0.04263376121543363,0.09026024901508116,0.060312761149530165,0.014627975466217236,0.01641571317601961,0.04485009200445636
legal_prev_trade_count_sum_5,0.051326695224333446,0.01734422567823886,0.08870091193136394,0.049018093579732636,0.01748792870472509,0.044775571023678795
