reversal_risk_threshold,base_band,sample_count,coverage,precision_up,precision_down,balanced_precision,all_sample_accuracy,accepted_sample_accuracy,share_up_predictions,share_down_predictions,selected_t_up,selected_t_down,accepted_count,up_prediction_count,down_prediction_count,roc_auc,brier_score,log_loss,utility,downside_risk,selection_score,up_signal_count,down_signal_count,total_signal_count,signal_coverage,overall_signal_accuracy
0.45,0.05,7468.0,0.8831012319228709,0.6666666666666666,0.6651285431773236,0.6658976049219951,0.6491697911087306,0.665959059893859,0.5399545109931766,0.46004548900682335,0.45,0.05,6595.0,3561.0,3034.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.2931173004820567,0.5431316283557855,0.5396800428828025,3561.0,3034.0,6595.0,0.8831012319228709,0.665959059893859
0.45,0.07,7468.0,0.8324852704874129,0.6735720627404558,0.6726568005637773,0.6731144316521165,0.6491697911087306,0.6731542544635677,0.5435097313816953,0.45649026861830466,0.45,0.07,6217.0,3379.0,2838.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.28829673272629897,0.5216265607506552,0.5526879848898432,3379.0,2838.0,6217.0,0.8324852704874129,0.6731542544635677
0.45,0.1,7468.0,0.7513390465988217,0.6874189364461738,0.6842105263157895,0.6858147313809817,0.6491697911087306,0.685973979682766,0.5496346462306184,0.4503653537693816,0.45,0.1,5611.0,3084.0,2527.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.279459025174076,0.4857365651383194,0.5753304264720047,3084.0,2527.0,5611.0,0.7513390465988217,0.685973979682766
0.45,0.15,7468.0,0.6163631494376004,0.7073264288454162,0.7079158316633266,0.7076211302543713,0.6491697911087306,0.7075820117314795,0.566369758852922,0.433630241147078,0.45,0.15,4603.0,2607.0,1996.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.25589180503481523,0.42454172021297576,0.6027483115356589,2607.0,1996.0,4603.0,0.6163631494376004,0.7075820117314795
0.45,0.2,7468.0,0.513122656668452,0.7283500455788514,0.7252747252747253,0.7268123854267883,0.6491697911087306,0.7270354906054279,0.5725469728601252,0.42745302713987476,0.45,0.2,3832.0,2194.0,1638.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.23299410819496513,0.3742516188832634,0.6225600543564801,2194.0,1638.0,3832.0,0.513122656668452,0.7270354906054279
0.45,0.5,7468.0,0.42929833958221747,0.7379421221864951,0.7350746268656716,0.7365083745260834,0.6491697911087306,0.7367436057392389,0.5820336868371803,0.41796631316281974,0.45,0.5,3206.0,1866.0,1340.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.2032672737011248,0.3361778293411782,0.6046421148577115,1866.0,1340.0,3206.0,0.42929833958221747,0.7367436057392389
0.5,0.03,7468.0,0.9014461703267274,0.6631607335490831,0.6643518518518519,0.6637562927004674,0.6491697911087306,0.6636957813428401,0.5508021390374331,0.44919786096256686,0.5,0.03,6732.0,3708.0,3024.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.29512587038028915,0.5505998092745938,0.5360079415376344,3708.0,3024.0,6732.0,0.9014461703267274,0.6636957813428401
0.5,0.05,7468.0,0.8821638993036958,0.6672278338945006,0.6643518518518519,0.6657898428731762,0.6491697911087306,0.6659077109896782,0.5409836065573771,0.45901639344262296,0.5,0.05,6588.0,3564.0,3024.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.2927155865024102,0.5428850305549443,0.5391852234407577,3564.0,3024.0,6588.0,0.8821638993036958,0.6659077109896782
0.5,0.07,7468.0,0.8354311730048206,0.6727594339622641,0.6708816297857394,0.6718205318740018,0.6491697911087306,0.6719025484853342,0.5436768712934765,0.4563231287065235,0.5,0.07,6239.0,3392.0,2847.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.2872254954472415,0.5235483156106889,0.5486131592500867,3392.0,2847.0,6239.0,0.8354311730048206,0.6719025484853342
0.5,0.1,7468.0,0.762185324049277,0.6844130853110969,0.679098679098679,0.6817558822048879,0.6491697911087306,0.6820098383696416,0.5477863668306395,0.45221363316936053,0.5,0.1,5692.0,3118.0,2574.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.27745045527584355,0.49230827170251434,0.5635705740152538,3118.0,2574.0,5692.0,0.762185324049277,0.6820098383696416
0.5,0.15,7468.0,0.6515800749866095,0.6999266324284666,0.6962616822429907,0.6980941573357287,0.6491697911087306,0.698314837648993,0.5602137279079326,0.4397862720920674,0.5,0.15,4866.0,2726.0,2140.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.25843599357257635,0.44336445584531986,0.5828974112952776,2726.0,2140.0,4866.0,0.6515800749866095,0.698314837648993
0.5,0.2,7468.0,0.5812801285484734,0.7091503267973857,0.7062863180137348,0.7077183224055602,0.6491697911087306,0.7079014052061737,0.5639253628196268,0.4360746371803732,0.5,0.2,4341.0,2448.0,1893.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.24169791108730587,0.41205716682346855,0.5865640269056475,2448.0,1893.0,4341.0,0.5812801285484734,0.7079014052061737
0.5,0.5,7468.0,0.5436529191215854,0.7109375,0.7118451025056948,0.7113913012528474,0.6491697911087306,0.7113300492610838,0.5674876847290641,0.432512315270936,0.5,0.5,4060.0,2304.0,1756.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.2297803963577933,0.39615181607799815,0.5800311573292193,2304.0,1756.0,4060.0,0.5436529191215854,0.7113300492610838
0.55,0.03,7468.0,0.9002410283877879,0.663609387644996,0.6647877984084881,0.664198593026742,0.6491697911087306,0.6641380336159453,0.5513907481778968,0.4486092518221032,0.55,0.03,6723.0,3707.0,3016.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.2955275843599357,0.5498697318583067,0.5374501763557497,3707.0,3016.0,6723.0,0.9002410283877879,0.6641380336159453
0.55,0.05,7468.0,0.8844402785216926,0.6678740596266369,0.6647877984084881,0.6663309290175625,0.6491697911087306,0.6664647993943982,0.5433762301286904,0.4566237698713096,0.55,0.05,6605.0,3589.0,3016.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.2944563470808784,0.5431316283557855,0.5421454610777904,3589.0,3016.0,6605.0,0.8844402785216926,0.6664647993943982
0.55,0.07,7468.0,0.8449384038564542,0.6726587416642505,0.670045438657812,0.6713520901610313,0.6491697911087306,0.6714738510301109,0.5465927099841521,0.45340729001584784,0.55,0.07,6310.0,3449.0,2861.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.2897696839850027,0.5268627524656927,0.549990832771712,3449.0,2861.0,6310.0,0.8449384038564542,0.6714738510301109
0.55,0.1,7468.0,0.7869576861274772,0.6835756263532323,0.676626323751891,0.6801009750525617,0.6491697911087306,0.6804492087799898,0.5501106006465883,0.4498893993534116,0.55,0.1,5877.0,3233.0,2644.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.2840117836100697,0.5014707880412416,0.5663575832989741,3233.0,2644.0,5877.0,0.7869576861274772,0.6804492087799898
0.55,0.15,7468.0,0.7158543117300482,0.691073219658977,0.6853503184713375,0.6882117690651572,0.6491697911087306,0.6885521885521886,0.5594837261503928,0.4405162738496072,0.55,0.15,5346.0,2991.0,2355.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.2699517943224425,0.4721771475874313,0.5717171949166737,2991.0,2355.0,5346.0,0.7158543117300482,0.6885521885521886
0.55,0.2,7468.0,0.6829137653990359,0.6934357541899442,0.6896243291592129,0.6915300416745785,0.6491697911087306,0.691764705882353,0.5615686274509804,0.4384313725490196,0.55,0.2,5100.0,2864.0,2236.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.26191751472951263,0.45880074687685685,0.5708742117628066,2864.0,2236.0,5100.0,0.6829137653990359,0.691764705882353
0.55,0.5,7468.0,0.671531869309052,0.6952820148989003,0.6908014571948998,0.6930417360469001,0.6491697911087306,0.693320039880359,0.5621136590229312,0.4378863409770688,0.55,0.5,5015.0,2819.0,2196.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.25964113551151585,0.4538120391734535,0.5721336436653618,2819.0,2196.0,5015.0,0.671531869309052,0.693320039880359
0.6,0.03,7468.0,0.8959560792715586,0.6642394822006472,0.666778410995642,0.6655089465981445,0.6491697911087306,0.665371394410402,0.5541772530264535,0.44582274697354657,0.6,0.03,6691.0,3708.0,2983.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.29633101231922876,0.5475513980222906,0.5411930521765652,3708.0,2983.0,6691.0,0.8959560792715586,0.665371394410402
0.6,0.05,7468.0,0.8852437064809855,0.6678610804851157,0.666778410995642,0.6673197457403788,0.6491697911087306,0.6673725608833762,0.548782332476176,0.4512176675238239,0.6,0.05,6611.0,3628.0,2983.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.29633101231922865,0.5426383206896453,0.5460930439682515,3628.0,2983.0,6611.0,0.8852437064809855,0.6673725608833762
0.6,0.07,7468.0,0.8608730583824317,0.6711941143180532,0.6683937823834197,0.6697939483507365,0.6491697911087306,0.6699331155700731,0.5496966868875408,0.4503033131124592,0.6,0.07,6429.0,3534.0,2895.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.29258168184252803,0.5330531758370377,0.548878977004678,3534.0,2895.0,6429.0,0.8608730583824317,0.6699331155700731
0.6,0.1,7468.0,0.830878414568827,0.6762127410870836,0.6722960833632771,0.6742544122251803,0.6491697911087306,0.6744560838033844,0.5514907332796132,0.44850926672038677,0.6,0.1,6205.0,3422.0,2783.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.2899035886448849,0.5200840441332257,0.5574168096774426,3422.0,2783.0,6205.0,0.830878414568827,0.6744560838033844
0.6,0.15,7468.0,0.7978039635779325,0.6782059000602046,0.6756449165402124,0.6769254083002085,0.6491697911087306,0.6770728432359853,0.5575696542463914,0.44243034575360857,0.6,0.15,5958.0,3322.0,2636.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.2825388323513659,0.5075751822275034,0.5566443006756926,3322.0,2636.0,5958.0,0.7978039635779325,0.6770728432359853
0.6,0.2,7468.0,0.7865559721478308,0.6783536585365854,0.6788743253662297,0.6786139919514076,0.6491697911087306,0.6785835886959483,0.5583929179434798,0.4416070820565203,0.6,0.2,5874.0,3280.0,2594.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.2809319764327799,0.5028041346861871,0.5587304420400534,3280.0,2594.0,5874.0,0.7865559721478308,0.6785835886959483
0.6,0.5,7468.0,0.7837439742903053,0.6795224977043158,0.679814385150812,0.679668441427564,0.6491697911087306,0.6796514607893388,0.5581752947206561,0.4418247052793439,0.6,0.5,5853.0,3267.0,2586.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.2816014997321907,0.5010700921817798,0.5620002153910842,3267.0,2586.0,5853.0,0.7837439742903053,0.6796514607893388
