cutoff,sample_count,coverage,precision_up,precision_down,balanced_precision,all_sample_accuracy,accepted_sample_accuracy,share_up_predictions,share_down_predictions,selected_t_up,selected_t_down,accepted_count,up_prediction_count,down_prediction_count,roc_auc,brier_score,log_loss,utility,downside_risk,selection_score,up_signal_count,down_signal_count,total_signal_count,signal_coverage,overall_signal_accuracy,continuation_sample_count,continuation_coverage,continuation_accepted_accuracy,continuation_accepted_count,reversal_sample_count,reversal_coverage,reversal_accepted_accuracy,reversal_accepted_count
0.205,7468.0,0.7478575254418853,0.6840916424653114,0.6790024135156878,0.6815470279904996,0.611140867702196,0.6818263205013428,0.5548791405550582,0.4451208594449418,0.795,0.205,5585.0,3099.0,2486.0,0.656613228496069,0.25961074659873923,0.7545257272527273,0.2719603642206748,0.48779973412313915,0.5575246257760808,3099.0,2486.0,5585.0,0.7478575254418853,0.6818263205013428,4825.0,0.7865284974093264,0.9375494071146245,3795.0,2643.0,0.6772606886114264,0.13966480446927373,1790.0
0.21,7468.0,0.7486609534011783,0.6839729119638827,0.6791164658634539,0.6815446889136683,0.611140867702196,0.6818100518690753,0.5546413879449115,0.44535861205508853,0.79,0.21,5591.0,3101.0,2490.0,0.656613228496069,0.25961074659873923,0.7545257272527273,0.27222817354043916,0.48807416437501544,0.5577598517000597,3101.0,2490.0,5591.0,0.7486609534011783,0.6818100518690753,4825.0,0.7869430051813472,0.9370555701869897,3797.0,2643.0,0.6787741203178207,0.1415830546265329,1794.0
0.215,7468.0,0.7512051419389395,0.6832797427652733,0.6788,0.6810398713826367,0.611140867702196,0.681283422459893,0.5543672014260249,0.44563279857397503,0.785,0.215,5610.0,3110.0,2500.0,0.656613228496069,0.25961074659873923,0.7545257272527273,0.2723620782003214,0.4893071958078167,0.5566279844927847,3110.0,2500.0,5610.0,0.7512051419389395,0.681283422459893,4825.0,0.7888082901554404,0.9348397267472413,3806.0,2643.0,0.6825576995838063,0.14634146341463414,1804.0
0.22,7468.0,0.7526780931976432,0.6821829855537721,0.6771747805267359,0.679678883040254,0.611140867702196,0.6799501867995019,0.5541718555417185,0.44582814445828145,0.78,0.22,5621.0,3115.0,2506.0,0.656613228496069,0.25961074659873923,0.7545257272527273,0.27088912694161765,0.4908100275340886,0.5519225601453372,3115.0,2506.0,5621.0,0.7526780931976432,0.6799501867995019,4825.0,0.7910880829015544,0.9321456641341368,3817.0,2643.0,0.6825576995838063,0.14634146341463414,1804.0
0.225,7468.0,0.7542849491162292,0.6820365033621518,0.6768924302788845,0.6794644668205181,0.611140867702196,0.679744363571809,0.5544115036392686,0.4455884963607314,0.775,0.225,5633.0,3123.0,2510.0,0.656613228496069,0.25961074659873923,0.7545257272527273,0.27115693626138193,0.49149161379155154,0.5517020609356387,3123.0,2510.0,5633.0,0.7542849491162292,0.679744363571809,4825.0,0.7921243523316062,0.9309262166405023,3822.0,2643.0,0.6852062050699962,0.1496410822749862,1811.0
0.23,7468.0,0.7564274236743439,0.6811362910947973,0.6760731319554849,0.6786047115251411,0.611140867702196,0.6788812179146752,0.5546114356523278,0.44538856434767216,0.77,0.23,5649.0,3133.0,2516.0,0.656613228496069,0.25961074659873923,0.7545257272527273,0.2706213176218532,0.49285195852937963,0.5490925072700529,3133.0,2516.0,5649.0,0.7564274236743439,0.6788812179146752,4825.0,0.7941968911917099,0.9284968684759917,3832.0,2643.0,0.6874763526295876,0.15244909190974132,1817.0
0.235,7468.0,0.7584359935725763,0.6810070108349267,0.6745843230403801,0.6777956669376534,0.611140867702196,0.6781426553672316,0.5540254237288136,0.4459745762711864,0.765,0.235,5664.0,3138.0,2526.0,0.656613228496069,0.25961074659873923,0.7545257272527273,0.2702196036422067,0.4940730664235653,0.546922352190211,3138.0,2526.0,5664.0,0.7584359935725763,0.6781426553672316,4825.0,0.7960621761658031,0.9263212705024733,3841.0,2643.0,0.6897465001891789,0.15523861766319255,1823.0
0.24,7468.0,0.7599089448312801,0.6803435114503816,0.6740418806795733,0.6771926960649775,0.611140867702196,0.677533039647577,0.5540088105726872,0.44599118942731275,0.76,0.24,5675.0,3144.0,2531.0,0.656613228496069,0.25961074659873923,0.7545257272527273,0.2698178896625602,0.49502073449943484,0.5450638142165907,3144.0,2531.0,5675.0,0.7599089448312801,0.677533039647577,4825.0,0.7975129533678756,0.9246361746361746,3848.0,2643.0,0.6912599318955732,0.15708812260536398,1827.0
0.245,7468.0,0.7612479914301018,0.6794790343074968,0.6732361056365787,0.6763575699720377,0.611140867702196,0.6766930518909411,0.5537379067722076,0.4462620932277924,0.755,0.245,5685.0,3148.0,2537.0,0.656613228496069,0.25961074659873923,0.7545257272527273,0.2690144617032673,0.4961015670842184,0.5422568271339472,3148.0,2537.0,5685.0,0.7612479914301018,0.6766930518909411,4825.0,0.7991709844559586,0.9227178423236515,3856.0,2643.0,0.6920166477487704,0.1580098414434117,1829.0
0.25,7468.0,0.7629887520085699,0.6796701554075484,0.6734774066797642,0.6765737810436563,0.611140867702196,0.6769041769041769,0.5533520533520534,0.44664794664794666,0.75,0.25,5698.0,3153.0,2545.0,0.656613228496069,0.25961074659873923,0.7545257272527273,0.26995179432244243,0.49650627271270575,0.5437026864686664,3153.0,2545.0,5698.0,0.7629887520085699,0.6769041769041769,4825.0,0.7997927461139896,0.9220005182689816,3859.0,2643.0,0.695800227014756,0.1625883632408918,1839.0
