variant,t_up,t_down,sample_count,coverage,precision_up,precision_down,balanced_precision,all_sample_accuracy,accepted_sample_accuracy,share_up_predictions,share_down_predictions,selected_t_up,selected_t_down,accepted_count,up_prediction_count,down_prediction_count,roc_auc,brier_score,log_loss,utility,downside_risk,selection_score,up_signal_count,down_signal_count,total_signal_count,signal_coverage,overall_signal_accuracy,continuation_sample_count,continuation_coverage,continuation_accepted_accuracy,continuation_accepted_count,reversal_sample_count,reversal_coverage,reversal_accepted_accuracy,reversal_accepted_count,coverage_constraint_satisfied,constraint_satisfied,fallback_reason,objective,hard_constraint
experiment_a_expert_only,0.495,0.475,7468.0,0.9679967862881629,0.6521310667652132,0.6536277602523659,0.6528794135087895,0.6497054097482592,0.652787384147185,0.5614884493014248,0.43851155069857517,0.495,0.475,7229.0,4059.0,3170.0,0.7052603944091387,0.21823103876727515,0.625350147103349,0.2957953936797001,0.5797419221552219,0.5102190860720659,4059.0,3170.0,7229.0,0.9679967862881629,0.652787384147185,4825.0,0.9763730569948187,0.9898110804500106,4711.0,2643.0,0.9527052591751797,0.022239872915011914,2518.0,True,,,,
experiment_a_expert_only,0.495,0.48,7468.0,0.9773701124799143,0.6521310667652132,0.6506172839506172,0.6513741753579152,0.6497054097482592,0.6514591039868475,0.5561035758323057,0.4438964241676942,0.495,0.48,7299.0,4059.0,3240.0,0.7052603944091387,0.21823103876727515,0.625350147103349,0.2960632029994643,0.5836552533304442,0.507256983142143,4059.0,3240.0,7299.0,0.9773701124799143,0.6514591039868475,4825.0,0.9825906735751295,0.9892427757856992,4741.0,2643.0,0.9678395762391222,0.02541047693510555,2558.0,True,,,,
experiment_a_expert_only,0.495,0.485,7468.0,0.9863417246920193,0.6521310667652132,0.6486241306319928,0.6503775986986029,0.6497054097482592,0.6505566114580505,0.5510453434699973,0.4489546565300027,0.495,0.485,7366.0,4059.0,3307.0,0.7052603944091387,0.21823103876727515,0.625350147103349,0.29700053561863965,0.5870865307062408,0.5058888597927128,4059.0,3307.0,7366.0,0.9863417246920193,0.6505566114580505,4825.0,0.9900518134715026,0.9886958342055684,4777.0,2643.0,0.9795686719636776,0.026651216685979143,2589.0,True,,,,
experiment_a_expert_only,0.495,0.49,7468.0,0.9949116229244778,0.6521310667652132,0.6475823197864136,0.6498566932758134,0.6497054097482592,0.6500672947510094,0.5462987886944818,0.45370121130551816,0.495,0.49,7430.0,4059.0,3371.0,0.7052603944091387,0.21823103876727515,0.625350147103349,0.29860739153722554,0.5900441641891107,0.5060763408237372,4059.0,3371.0,7430.0,0.9949116229244778,0.6500672947510094,4825.0,0.9960621761658031,0.9879317519766958,4806.0,2643.0,0.9928111993946274,0.03125,2624.0,True,,,,
experiment_a_expert_only,0.5,0.3,7468.0,0.6123460096411355,0.654228855721393,0.7974683544303798,0.7258486050758863,0.6497054097482592,0.6715504045484365,0.8790728187185655,0.12092718128143451,0.5,0.3,4573.0,4020.0,553.0,0.7052603944091387,0.21823103876727515,0.625350147103349,0.2100964113551152,0.4484693959937625,0.46847435573516216,4020.0,553.0,4573.0,0.6123460096411355,0.6715504045484365,4825.0,0.6370984455958549,0.9895901106050748,3074.0,2643.0,0.5671585319712448,0.019346230820547032,1499.0,False,,,,
experiment_a_expert_only,0.5,0.305,7468.0,0.6171665773968934,0.654228855721393,0.7928692699490663,0.7235490628352297,0.6497054097482592,0.6719461922325884,0.8722065523974832,0.12779344760251682,0.5,0.305,4609.0,4020.0,589.0,0.7052603944091387,0.21823103876727515,0.625350147103349,0.2122388859132298,0.44995982680882946,0.4716840777063458,4020.0,589.0,4609.0,0.6171665773968934,0.6719461922325884,4825.0,0.6424870466321243,0.9896774193548387,3100.0,2643.0,0.5709421112372304,0.019218025182239893,1509.0,False,,,,
experiment_a_expert_only,0.5,0.31,7468.0,0.6219871451526513,0.654228855721393,0.7872,0.7207144278606965,0.6497054097482592,0.6721205597416577,0.8654467168998924,0.13455328310010764,0.5,0.31,4645.0,4020.0,625.0,0.7052603944091387,0.21823103876727515,0.625350147103349,0.21411355115158012,0.45159361930892644,0.4741288228988665,4020.0,625.0,4645.0,0.6219871451526513,0.6721205597416577,4825.0,0.6476683937823834,0.98976,3125.0,2643.0,0.5751040484298146,0.019078947368421053,1520.0,False,,,,
experiment_a_expert_only,0.5,0.315,7468.0,0.6268077129084092,0.654228855721393,0.7791225416036308,0.7166756986625119,0.6497054097482592,0.6718649861140782,0.858790856654561,0.14120914334543902,0.5,0.315,4681.0,4020.0,661.0,0.7052603944091387,0.21823103876727515,0.625350147103349,0.2154525977504017,0.4535168768403264,0.4750707388255762,4020.0,661.0,4681.0,0.6268077129084092,0.6718649861140782,4825.0,0.6524352331606218,0.9898348157560356,3148.0,2643.0,0.5800227014755959,0.018917155903457272,1533.0,False,,,,
experiment_a_expert_only,0.5,0.32,7468.0,0.6312265666845206,0.654228855721393,0.7780979827089337,0.7161634192151634,0.6497054097482592,0.6724649978786593,0.8527789563003818,0.14722104369961816,0.5,0.32,4714.0,4020.0,694.0,0.7052603944091387,0.21823103876727515,0.625350147103349,0.2177289769683985,0.45469637656139406,0.47884475925442144,4020.0,694.0,4714.0,0.6312265666845206,0.6724649978786593,4825.0,0.6576165803108809,0.9899149070280492,3173.0,2643.0,0.5830495648883844,0.01881894873458793,1541.0,False,,,,
experiment_a_expert_only,0.5,0.325,7468.0,0.6360471344402785,0.654228855721393,0.7767123287671233,0.7154705922442581,0.6497054097482592,0.6730526315789473,0.8463157894736842,0.15368421052631578,0.5,0.325,4750.0,4020.0,730.0,0.7052603944091387,0.21823103876727515,0.625350147103349,0.2201392608462774,0.4560196671164529,0.4827407165096256,4020.0,730.0,4750.0,0.6360471344402785,0.6730526315789473,4825.0,0.6632124352331606,0.99,3200.0,2643.0,0.5864547862277715,0.01870967741935484,1550.0,False,,,,
