feature,importance_q70,importance_q80,importance_q90,importance_mean
ret_range_pos_product__ret_5__range_pos_10,0.016635325360025054,0.04774433338349794,0.03761169720500666,0.03399711864950988
relative_volume_20_delta_6,0.036600119640901985,0.02125006999555802,0.043046014683743576,0.033632068106734525
legal_prev_trade_count_sum_5,0.05188305083204215,0.02498587477630001,0.023786379407566297,0.03355176833863615
wick_pressure_x_volume_1,0.04695197847840185,0.015456893480069536,0.03795023217134091,0.033453034709937435
rv_term_ratio__rv_3__rv_5,0.035273521876973114,0.033784955070226545,0.03129726330685391,0.033451913418017856
context_ret_product__wick_pressure_1__ret_3,0.03683557932575308,0.0,0.06309347659441306,0.03330968530672204
prev_bar_taker_sell_ratio,0.07825746799476008,0.0,0.02140238889602441,0.03321995229692817
volume_below_rolling_p20_share_20_mean_gap_12,0.07432852850065652,0.014830181095189653,0.0101806405636647,0.03311311671983696
close_z_3_rolling_z_12,0.012837644147069008,0.04273166866902433,0.04375865254510185,0.03310932178706506
prev_bar_taker_buy_ratio_lag1,0.010487190276449973,0.03838858703611395,0.05040868719644925,0.03309482150300439
rv_5_rolling_z_12,0.005337876346493748,0.0,0.09391901948211762,0.03308563194287045
context_ret_product__wick_pressure_1__ret_10,0.039975286822307374,0.0052997464588592875,0.05333679398914153,0.03287060909010273
context_relative_volume_product__wick_pressure_1__relative_volume_10,0.043256310567806065,0.04603182836371822,0.008935851782002112,0.032741330237842134
clv_1_delta_6,0.016152512759487765,0.019009981128584878,0.06297920198061384,0.0327138986228955
relative_volume_3_mean_gap_6,0.0,0.08104420171118461,0.016531288156859593,0.03252516328934807
htf_rv_15m_delta_6,0.012186325691236904,0.07380046742821161,0.011342507370339202,0.03244310016326257
wick_pressure_1_rolling_z_6,0.03278072193360112,0.009313118044306115,0.055221289633884584,0.03243837653726394
close_z_5,0.03619112046319472,0.03870814648580469,0.022093777620836426,0.03233101485661194
ret_1_delta_6,0.013752142848798617,0.016731280226796402,0.06632390896700706,0.03226911068086736
rv_3_delta_3,0.021041648653715665,0.03147061571912072,0.043884254931074874,0.03213217310130376
low_volume_flag_share_20_rolling_z_6,0.037573192145658046,0.027270082469659607,0.03141575446198625,0.03208634302576797
range_pos_5_rolling_z_24,0.022880009800935845,0.06129360577219077,0.011772410215670282,0.03198200859626563
wick_imbalance_3,0.03323357145737206,0.028675021537051655,0.03399517640315017,0.03196792313252463
context_relative_volume_product__wick_pressure_1__relative_volume_20,0.01464257640129168,0.06260571485940367,0.018649751254783554,0.0319660141718263
vwap_dist_term_ratio__vwap_dist_3__vwap_dist_5,0.054955114938888217,0.02004069373147038,0.02014679659714401,0.031714201755834205
ret_term_ratio__ret_3__ret_10,0.04630598257851371,0.025480258752454448,0.022819905800443102,0.031535382377137086
close_z_3_rolling_z_24,0.018337336760231426,0.06323662120202879,0.012477029486761711,0.03135032914967398
efficiency_5_rolling_z_12,0.02014866917340252,0.0265754050688123,0.0472934167174379,0.031339163653217574
