t_up,t_down,sample_count,coverage,precision_up,precision_down,balanced_precision,all_sample_accuracy,accepted_sample_accuracy,share_up_predictions,share_down_predictions,selected_t_up,selected_t_down,accepted_count,up_prediction_count,down_prediction_count,roc_auc,brier_score,log_loss
0.56,0.415,8220.0,0.051338199513382,0.5656836461126006,0.5918367346938775,0.5787601904032391,0.5232360097323601,0.5687203791469194,0.8838862559241706,0.11611374407582939,0.56,0.415,422.0,373.0,49.0,0.5345679153401742,0.2490640395809133,0.6912720397432376
0.56,0.42,8220.0,0.05583941605839416,0.5656836461126006,0.627906976744186,0.5967953114283933,0.5232360097323601,0.5773420479302832,0.8126361655773421,0.18736383442265794,0.56,0.42,459.0,373.0,86.0,0.5345679153401742,0.2490640395809133,0.6912720397432376
0.56,0.425,8220.0,0.060218978102189784,0.5656836461126006,0.639344262295082,0.6025139542038414,0.5232360097323601,0.5838383838383838,0.7535353535353535,0.24646464646464647,0.56,0.425,495.0,373.0,122.0,0.5345679153401742,0.2490640395809133,0.6912720397432376
0.56,0.43,8220.0,0.06849148418491484,0.5656836461126006,0.6,0.5828418230563003,0.5232360097323601,0.5772646536412078,0.6625222024866785,0.33747779751332146,0.56,0.43,563.0,373.0,190.0,0.5345679153401742,0.2490640395809133,0.6912720397432376
0.56,0.435,8220.0,0.08004866180048661,0.5656836461126006,0.6385964912280702,0.6021400686703353,0.5232360097323601,0.5972644376899696,0.5668693009118541,0.4331306990881459,0.56,0.435,658.0,373.0,285.0,0.5345679153401742,0.2490640395809133,0.6912720397432376
0.56,0.44,8220.0,0.09635036496350365,0.5656836461126006,0.60381861575179,0.5847511309321953,0.5232360097323601,0.5858585858585859,0.47095959595959597,0.5290404040404041,0.56,0.44,792.0,373.0,419.0,0.5345679153401742,0.2490640395809133,0.6912720397432376
0.56,0.445,8220.0,0.11545012165450122,0.5656836461126006,0.5920138888888888,0.5788487675007448,0.5232360097323601,0.5816649104320337,0.39304531085353,0.60695468914647,0.56,0.445,949.0,373.0,576.0,0.5345679153401742,0.2490640395809133,0.6912720397432376
0.56,0.45,8220.0,0.13613138686131387,0.5656836461126006,0.5817694369973191,0.5737265415549598,0.5232360097323601,0.5764075067024129,0.3333333333333333,0.6666666666666666,0.56,0.45,1119.0,373.0,746.0,0.5345679153401742,0.2490640395809133,0.6912720397432376
0.56,0.455,8220.0,0.16253041362530413,0.5656836461126006,0.5856697819314641,0.5756767140220324,0.5232360097323601,0.5800898203592815,0.2791916167664671,0.7208083832335329,0.56,0.455,1336.0,373.0,963.0,0.5345679153401742,0.2490640395809133,0.6912720397432376
0.56,0.46,8220.0,0.19111922141119222,0.5656836461126006,0.5701168614357263,0.5679002537741634,0.5232360097323601,0.5690642902609803,0.2374283895607893,0.7625716104392107,0.56,0.46,1571.0,373.0,1198.0,0.5345679153401742,0.2490640395809133,0.6912720397432376
